catalyst,hydrothermal_synthesis_time_min,energy_band_gap_eV,C_%,O_%,Fe_%,Al_%,Ni_%,Mo_%,S_%,Bi,Ag,Pd,Pt,surface_area_m2/g,pore_volume_cm3/g,pore_size_nm,volume_l,loading_g,light_intensity_watt,light_source_dist_cm,time_m,dye,log_kw,hydrogen_bonding_accep_count,hydrogen_bonding_donor_count,solubility_g/l,molecular_wt_g/M,pka1,pka2,dye_conc_mg/l,solution_ph,ha_mg/l,anions,final_concentration_mg/l,k_1st,k_2nd,efficiency_%,_trajectory_id,_time_numeric,_endpoint_rows,_dye_norm,_catalyst_norm,_matrix_stressed,_matrix_domain
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.1,0,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,8.11,0.000775878610617497,8.631319358816279e-05,18.900000000000006,75,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.1,25,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,4.5,0.0029574359119176725,0.0004526748971193415,55.00000000000001,76,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.1,55,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,3.32,0.004083778926169069,0.0007452030343596609,66.8,77,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.05,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,3.87,0.0035160392072309454,0.0005866590104316201,61.3,78,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.0,inf,inf,100.0,79,270,1,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.2,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.71,0.009796575562743784,0.004846113719353156,92.89999999999999,80,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.25,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,1.28,0.0076137963520834075,0.002523148148148148,87.20000000000002,81,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,5.45,0,N/A,0.0,inf,inf,100.0,82,270,1,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,20,5.45,0,N/A,3.85,0.006102441204645548,0.0007768157768157768,80.74999999999999,83,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,40,5.45,0,N/A,23.09,0.0020351104842501193,6.781033957300738e-05,42.275,84,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,80,5.45,0,N/A,64.22,0.0008137479481944953,1.137582615315409e-05,19.725,85,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,3.0,0,N/A,0.9,0.006351105289229358,0.0033744855967078194,82.0,86,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,5.0,0,N/A,0.0,inf,inf,100.0,87,270,1,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,N/A,0.0,inf,inf,100.0,88,270,1,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,9.0,0,N/A,0.15,0.012987251471555487,0.023950617283950617,97.0,89,270,3,melachitegreen,2wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,2,N/A,0.0,inf,inf,100.0,90,270,1,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,5,N/A,0.0,inf,inf,100.0,91,270,1,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,7,N/A,0.05,0.015772579984104144,0.054814814814814816,99.0,92,270,3,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,10,N/A,0.45,0.008918317069081007,0.007489711934156379,90.99999999999999,93,270,3,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,NaCl,1.86,0.003662449721144409,0.0012504978096375943,62.79999999999999,94,270,3,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,Na2SO4,0.0,inf,inf,100.0,95,270,1,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,NaCO3,0.0,inf,inf,100.0,96,270,1,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,NaHCO3,0.0,inf,inf,100.0,97,270,1,melachitegreen,2wtpdbfo,True,matrix-stressed
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.15,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,5,7.0,0,Na2HPO4,1.09,0.005641704504418696,0.0026571525654094457,78.2,98,270,3,melachitegreen,2wtpdbfo,True,matrix-stressed
